#,Name,Price,Description,Image
1,Mercedes-Benz C-Класс AMG,$ 46 000,"2015 г., 4 л., автомат седан, бензин руль слева, 1 000 км",https://im.mashina.kg/tachka/images//6/4/6/6469a6e4d4eb7c7040a969a9fd196066_240x180.jpg
2,BMW X7,$ 125 000,"2019 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 19 000 км",https://im.mashina.kg/tachka/images//c/7/f/c7fcf310d38589be966f8c580a024c75_240x180.jpg
3,Land Rover Range Rover,$ 125 000,"2018 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 59 546 км",https://im.mashina.kg/tachka/images//0/0/d/00d24a5a74ac983380045c330fd2412e_240x180.jpg
4,Lexus NX,$ 36 000,"2015 г., 2.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 100 000 км",https://im.mashina.kg/tachka/images//6/6/6/666ce68851dd8431dc9ee0e5570d0bbd_240x180.jpg
5,Kia Sorento,$ 19 999,"2017 г., 2.4 л., автомат внедорожник 5 дв., бензин руль слева, 10 000 км",https://im.mashina.kg/tachka/images//6/a/2/6a2165ce610c67d87d23b4cc7abc0fcc_240x180.jpg
6,Kia Sportage,$ 21 500,"2016 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 130 000 км",https://im.mashina.kg/tachka/images//e/b/9/eb9026451a2cb6d7b9004ad8fac492e5_240x180.jpg
7,BMW X5,$ 129 800,"2022 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 1 400 км",https://im.mashina.kg/tachka/images//1/c/5/1c50e0745946419e5c3053d5cf3b5017_240x180.jpg
8,BMW X7,$ 115 000,"2020 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 60 000 км",https://im.mashina.kg/tachka/images//1/e/a/1eac9dec0fdda41c5508ecab129c413c_240x180.jpg
9,Toyota Avalon,$ 39 000,"2019 г., 2.5 л., вариатор седан, гибрид руль слева, 56 000 км",https://im.mashina.kg/tachka/images//6/4/5/6453349c500e513354f276a9e8a4ac29_240x180.jpg
10,Lexus RX,$ 86 000,"2020 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 21 000 км",https://im.mashina.kg/tachka/images//d/5/3/d5360f1bd96c28ab6cb7da50cce3e832_240x180.jpg
11,Toyota Camry,$ 38 000,"2018 г., 3.5 л., автомат седан, бензин руль слева, 95 000 км",https://im.mashina.kg/tachka/images//6/c/5/6c5fa76953f3e35ed6d404cdb5eee860_240x180.jpg
12,Toyota Camry,$ 25 900,"2018 г., 2.5 л., автомат седан, бензин руль слева, 65 000 км",https://im.mashina.kg/tachka/images//2/e/c/2ec622b1ec9cefae19dbf49271378bf6_240x180.jpg
13,Toyota Avensis,$ 7 800,"2003 г., 2 л., автомат седан, бензин руль слева, 280 000 км",https://im.mashina.kg/tachka/images//1/4/6/146ebf1cf4f99a2a24af601b9183a235_240x180.jpg
14,Kia K5 II Седан,$ 14 500,"2017 г., 2 л., автомат седан, газ руль слева, 133 000 км",https://im.mashina.kg/tachka/images//0/e/2/0e27df258bf3a71ed7f6c04224ddd561_240x180.jpg
15,Lexus GX,$ 33 500,"2010 г., 4.6 л., автомат внедорожник 5 дв., бензин руль слева, 125 000 км",https://im.mashina.kg/tachka/images//2/5/9/259d98a35ed82c250a1c822b9de63966_240x180.jpg
16,Chevrolet Volt,$ 13 000,"2013 г., 1.4 л., вариатор хэтчбек 5 дв., гибрид руль слева, 100 000 км",https://im.mashina.kg/tachka/images//6/c/3/6c3cae6bf9a42c68ef810930c6fd077b_240x180.jpg
17,Hyundai Sonata,$ 13 000,"2019 г., автомат седан, газ руль слева, 350 000 км",https://im.mashina.kg/tachka/images//2/d/a/2da834c4692d29c20c63b4bce5f5402b_240x180.jpg
18,Honda Fit,$ 6 700,"2004 г., 1.3 л., вариатор хэтчбек 5 дв., бензин руль слева, 210 000 км",https://im.mashina.kg/tachka/images//d/2/2/d2217d5b29f18ea3b64967813eb2c68e_240x180.jpg
19,BMW X5,$ 15 900,"2004 г., 4.4 л., автомат внедорожник 5 дв., бензин руль слева, 245 000 км",https://im.mashina.kg/tachka/images//5/2/4/52404075f5f647d73e680636ea5f5e14_240x180.jpg
20,Toyota Camry,$ 26 500,"2017 г., 2.5 л., автомат седан, бензин руль слева, 94 000 км",https://im.mashina.kg/tachka/images//3/7/b/37bcd2afc6ba1f364dd7aa8b312bf5f5_240x180.jpg
21,Toyota Prius,$ 13 500,"2013 г., 1.8 л., автомат хэтчбек 5 дв., гибрид руль слева, 80 000 км",https://im.mashina.kg/tachka/images//d/7/8/d783198e0aa7747889b35cd20f2fcd82_240x180.jpg
22,Kia Sportage,$ 20 500,"2016 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 121 000 км",https://im.mashina.kg/tachka/images//f/1/1/f113d51c33bb3f482c058c9b7ac924e4_240x180.jpg
23,Honda Civic,$ 4 037,"2000 г., 1.5 л., автомат хэтчбек 5 дв., бензин руль справа, 280 000 км",https://im.mashina.kg/tachka/images//5/a/1/5a14a808888e0044c17318a4b3c512d7_240x180.jpg
24,Toyota 4Runner,$ 44 900,"2019 г., 4 л., автомат внедорожник 5 дв., бензин руль слева, 41 000 км",https://im.mashina.kg/tachka/images//5/d/7/5d7919221df5225e9a4c1f511bc0c8ed_240x180.jpg
25,Toyota Highlander,$ 24 000,"2011 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 195 000 км",https://im.mashina.kg/tachka/images//4/d/7/4d764e29a92df50aef9cea6932f1b5d8_240x180.jpg
26,Volkswagen Golf,$ 1 961,"1995 г., 1.8 л., механика хэтчбек 5 дв., бензин руль слева, 35 000 км",https://im.mashina.kg/tachka/images//0/4/d/04db79c1bcdc031725b18d1bfa658cf3_240x180.jpg
27,BMW X5,$ 37 500,"2016 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 96 000 км",https://im.mashina.kg/tachka/images//7/b/c/7bc6e8b6d854192be036960208535e26_240x180.jpg
28,BMW 5 Серия,$ 46 500,"2017 г., 3 л., автомат седан, бензин руль слева, 80 000 км",https://im.mashina.kg/tachka/images//1/d/6/1d6a5b7da0bd075a140d5b16f7156af1_240x180.jpg
29,Toyota Corolla,$ 7 382,"2004 г., 1.6 л., механика хэтчбек 5 дв., бензин руль слева, 270 000 км",https://im.mashina.kg/tachka/images//e/9/5/e9565da94adcc1c5369bcaf23665a917_240x180.jpg
30,Hyundai Grandeur,$ 23 999,"2018 г., 2.4 л., автомат седан, гибрид руль слева, 19 800 км",https://im.mashina.kg/tachka/images//3/c/1/3c1549f1dc92ad6ed7f2d5f9f32fbfa3_240x180.jpg
31,Toyota Camry,$ 15 800,"2011 г., 2.4 л., автомат седан, бензин руль слева, 129 000 км",https://im.mashina.kg/tachka/images//5/1/6/5165c04036c66a9bb0f638c4dcab5422_240x180.jpg
32,Kia Sorento,$ 25 500,"2017 г., 2.2 л., автомат внедорожник 5 дв., дизель руль слева, 77 500 км",https://im.mashina.kg/tachka/images//2/c/b/2cb6dfcedba38b5b6e74b8e06d959c10_240x180.jpg
33,Kia Sportage,$ 18 200,"2016 г., 1.7 л., робот внедорожник 5 дв., дизель руль слева, 97 000 км",https://im.mashina.kg/tachka/images//2/6/9/26960cf1200891a94cd96a4919b9159e_240x180.jpg
34,Toyota Highlander,$ 58 000,"2021 г., 2.5 л., автомат внедорожник 5 дв., гибрид руль слева, 6 000 км",https://im.mashina.kg/tachka/images//5/0/c/50c73140961007d5b8c8a08526498012_240x180.jpg
35,Toyota RAV4,$ 26 500,"2017 г., 2.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 55 000 км",https://im.mashina.kg/tachka/images//8/0/4/8048acfd7b616dfe8f4cf8c9960812b3_240x180.jpg
36,Kia Sportage,$ 25 200,"2017 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 91 312 км",https://im.mashina.kg/tachka/images//2/3/c/23c93a84739df5528cdc4d5b1e8560e3_240x180.jpg
37,Land Rover Range Rover Sport,$ 10 900,"2006 г., 2.7 л., автомат внедорожник 5 дв., дизель руль слева, 358 000 км",https://im.mashina.kg/tachka/images//6/9/0/69069a0ab19136dcd3e0853e90358fe9_240x180.jpg
38,Lexus ES,$ 22 800,"2012 г., 2.5 л., автомат седан, бензин руль слева, 180 000 км",https://im.mashina.kg/tachka/images//a/8/d/a8d6dccdd193874d39f1de0d2e5e2e0f_240x180.jpg
39,Toyota Land Cruiser,$ 38 000,"2011 г., 4.7 л., автомат внедорожник 5 дв., бензин руль слева, 200 000 км",https://im.mashina.kg/tachka/images//5/1/a/51a7c82351514f8efb46da2971cbdb64_240x180.jpg
40,Audi Q7,$ 11 500,"2007 г., 4.2 л., автомат внедорожник 5 дв., бензин руль слева, 266 000 км",https://im.mashina.kg/tachka/images//f/d/1/fd178b78047478e671d03a28befe521a_240x180.jpg
41,Subaru Legacy,$ 7 550,"2004 г., 3 л., автомат седан, бензин руль справа, 249 726 км",https://im.mashina.kg/tachka/images//6/f/5/6f53c9c165f4ab87a4be164c58adc3cd_240x180.jpg
42,Toyota Avalon,$ 39 500,"2019 г., 2.5 л., вариатор седан, гибрид руль слева, 76 000 км",https://im.mashina.kg/tachka/images//5/6/4/564ce9cbb720ca1ddf8fa28ed3e1ba95_240x180.jpg
43,Toyota Sequoia,$ 28 800,"2008 г., 5.7 л., автомат внедорожник 5 дв., бензин руль слева, 196 000 км",https://im.mashina.kg/tachka/images//6/7/f/67f78da0ae541d3cff0ad0640440ae69_240x180.jpg
44,Nissan Patrol,$ 44 000,"2014 г., 5.6 л., автомат внедорожник 5 дв., бензин руль слева, 130 000 км",https://im.mashina.kg/tachka/images//6/b/6/6b642456a04a874d77124e141b7286ef_240x180.jpg
45,Honda Accord,$ 9 000,"2004 г., 2 л., автомат седан, бензин руль слева, 182 000 км",https://im.mashina.kg/tachka/images//2/6/b/26b14a3780d52ec15792a08766246b09_240x180.jpg
46,Mercedes-Benz E-класс,$ 9 900,"2009 г., 2.1 л., автомат седан, дизель руль слева, 1 000 км",https://im.mashina.kg/tachka/images//e/2/0/e208cdf17dc7228693c2acfb53826688_240x180.jpg
47,Toyota Camry,$ 17 800,"2017 г., 2.5 л., автомат седан, бензин руль слева, 180 000 км",https://im.mashina.kg/tachka/images//8/4/4/844d58249dd922396e29a6b138be1920_240x180.jpg
48,Mercedes-Benz E-класс,$ 8 888,"2005 г., 1.8 л., автомат седан, бензин руль слева, 199 220 км",https://im.mashina.kg/tachka/images//1/0/0/100426fc0ef4124c0e14aedc5a51726b_240x180.jpg
49,Kia K5 II Седан,$ 14 700,"2017 г., 2 л., автомат седан, газ руль слева, 232 000 км",https://im.mashina.kg/tachka/images//5/7/2/57278854ff959972af1af12b60b57f3e_240x180.jpg
50,BMW X5,$ 110 000,"2021 г., 4.4 л., автомат внедорожник 5 дв., бензин руль слева, 12 000 км",https://im.mashina.kg/tachka/images//e/d/6/ed61438ce0bf1601c1ff755588e37489_240x180.jpg
51,Lexus LX,$ 38 500,"2008 г., 5.7 л., автомат внедорожник 5 дв., бензин руль слева, 159 000 км",https://im.mashina.kg/tachka/images//8/c/a/8ca83c44a5df0d6d252e6327cc9b7556_240x180.jpg
52,Hyundai Santa Fe,$ 23 700,"2016 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 135 000 км",https://im.mashina.kg/tachka/images//6/c/b/6cb89503e4fe3942393c40baff0efe11_240x180.jpg
53,Weltmeister EX5,$ 23 000,"2022 г., автомат внедорожник 5 дв., электро руль слева, 100 км",https://im.mashina.kg/tachka/images//d/b/7/db7e6b2cc498c28a38b23179f0b9a47d_240x180.jpg
54,BMW 5 Серия,$ 45 000,"2017 г., 2 л., автомат седан, дизель руль слева, 87 000 км",https://im.mashina.kg/tachka/images//7/3/c/73cf769e514d15e1192bdd4057c396e6_240x180.jpg
55,Mercedes-Benz E-класс,$ 9 500,"2003 г., 5 л., автомат седан, бензин руль слева, 200 000 км",https://im.mashina.kg/tachka/images//a/6/9/a69e370cd3939d27679f52690a793536_240x180.jpg
56,BMW X6 M,$ 24 000,"2010 г., 4.4 л., автомат внедорожник 5 дв., бензин руль слева, 190 006 км",https://im.mashina.kg/tachka/images//3/3/2/332b752e9947ebf249f3147487751e76_240x180.jpg
57,Toyota Camry,$ 34 450,"2018 г., 3.5 л., автомат седан, бензин руль слева, 77 000 км",https://im.mashina.kg/tachka/images//3/2/b/32b933f0f67b48968b53762b58a18074_240x180.jpg
58,Lexus ES,$ 11 500,"2003 г., 3 л., автомат седан, бензин руль слева, 182 000 км",https://im.mashina.kg/tachka/images//6/1/8/6184f58035b3baca03c341e5a7412519_240x180.jpg
59,Kia Ceed,$ 7 500,"2007 г., 1.6 л., автомат хэтчбек 5 дв., бензин руль слева, 160 000 км",https://im.mashina.kg/tachka/images//d/1/a/d1a1893da9733a77486b0f92737807c3_240x180.jpg
60,Toyota Alphard,$ 10 800,"2003 г., 3 л., автомат минивэн, бензин руль справа, 185 000 км",https://im.mashina.kg/tachka/images//0/1/7/017edb7b785f0f5e4fb46e348ca65b9f_240x180.jpg
61,Toyota Camry,$ 35 500,"2020 г., 2.5 л., автомат седан, бензин руль слева, 55 000 км",https://im.mashina.kg/tachka/images//7/0/6/70698a8c7eb120cca309138ca1714a3c_240x180.jpg
62,Toyota Prius,$ 24 500,"2018 г., 1.8 л., автомат хэтчбек 5 дв., гибрид руль слева, 112 000 км",https://im.mashina.kg/tachka/images//d/d/1/dd1cb03600c7b0322e618788d45171de_240x180.jpg
63,Toyota Camry,$ 22 500,"2018 г., 2.5 л., автомат седан, бензин руль слева, 193 000 км",https://im.mashina.kg/tachka/images//e/c/c/ecc1b540263ff2601c01e0b82cb9d0a4_240x180.jpg
64,Kia Carnival,$ 30 500,"2018 г., 2.2 л., автомат минивэн, дизель руль слева, 152 000 км",https://im.mashina.kg/tachka/images//f/0/7/f07407acac15b0ae68e2c66a00835356_240x180.jpg
65,Hyundai Sonata,$ 13 950,"2016 г., 2 л., автомат седан, газ руль слева, 133 000 км",https://im.mashina.kg/tachka/images//1/f/c/1fccf98b1e64ca95ff626825f233c0c9_240x180.jpg
66,Toyota Camry,$ 12 800,"2010 г., 2.5 л., автомат седан, бензин руль слева, 147 000 км",https://im.mashina.kg/tachka/images//e/2/9/e2989b94a75cf98da4261d6ad2659560_240x180.jpg
67,Honda Stepwgn,$ 9 500,"2005 г., 2 л., автомат минивэн, бензин руль справа, 300 000 км",https://im.mashina.kg/tachka/images//7/c/7/7c7729d7d262be3ca25d53bf885676aa_240x180.jpg
68,Lexus RX,$ 28 000,"2011 г., 3.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 135 000 км",https://im.mashina.kg/tachka/images//a/6/f/a6f4a7d366c4379dce7f6810a39e4d88_240x180.jpg
